"","Mean","StdDev","lower 0.89","upper 0.89","n_eff","Rhat"
"a",0.188931989855136,0.105218027080455,0.0206436599896582,0.356391862136034,11986.8944527541,1.00005862243173
"bD",-0.376284432712467,0.135050267913601,-0.586610581478879,-0.15774226074267,12081.5279016529,1.0000429066821
"sigma",0.996603027891315,0.0571815353551134,0.90279475724978,1.08474574402469,13596.3789462584,1.00022959062297
