"","Mean","StdDev","lower 0.89","upper 0.89","n_eff","Rhat"
"a",0.0921065042947398,0.102583871808647,-0.0710430496779999,0.256438830024982,12186.0813479981,1.000169504745
"bD",-0.183791824777904,0.126320843701789,-0.383066001462112,0.0196092773286211,11919.0130448376,1.00022451877667
"sigma",0.997100013934481,0.0575340573006452,0.90511595574853,1.08751185049938,12906.5931662915,0.999933820611161
