"","WAIC","pWAIC","dWAIC","weight","SE","dSE"
"model_meta",432.637589911128,5.41109983024457,0,0.518809041485502,36.6481709096185,NA
"model_skep",432.78813328215,5.29865360951651,0.15054337102157,0.481190958514498,35.7333479613925,2.4384455288983
